Trang,STT,Chức năng,Trạng thái,Hiện trạng,Giải pháp và Flow hoạt động
Đăng nhập,1,Đăng nhập thông thường,Hoàn Thành,"- Đã có các trường Username/Password cơ bản, check thông tin trùng với db sẽ login thành công","Giải pháp:
- Servlet LoginController.java, Service AuthService.java, DAO UserDAO.java
- Mã hóa so khớp mật khẩu bằng thư viện PasswordUtil (BCrypt)
Flow:
- Người dùng nhập Email và Mật khẩu tại DangNhap.jsp, gửi request POST đến /login
- LoginController.doPost() nhận tham số, gọi AuthService.checkLogin(username, password)
- AuthService truy vấn user bằng UserDAO.findByEmail(email)
- Nếu tìm thấy, so khớp hash mật khẩu bằng PasswordUtil.checkPassword(rawPassword, hashedPassword)
- Nếu khớp, trả về đối tượng User và lưu vào session.setAttribute(""auth"", u)"
,2,Chức năng qua FB và GG,Hoàn Thành,- Đã tích hợp đăng nhập qua bên thứ 3 nền tảng FB và Gmail,"Giải pháp:
- LoginController.java (doGet), GoogleAuthService.java, FacebookAuthService.java
- Gọi REST API lấy OAuth Token và User Info từ Google/Facebook
Flow:
- Người dùng nhấn nút ""Đăng nhập với Google/Facebook""
- Hệ thống chuyển hướng sang Authorization Server của Google/Facebook
- Sau khi xác thực, Google/Facebook redirect về /login kèm theo code (Authorization Code)
- LoginController.doGet() bắt tham số code, gọi GoogleAuthService.getToken(code) lấy Access Token, sau đó gọi GoogleAuthService.getUserInfo(accessToken)
- Gọi tiếp GoogleAuthService.loginOrRegister(ggAccount) để kiểm tra trong database: nếu email chưa tồn tại thì tự động tạo tài khoản mới, ngược lại lấy thông tin tài khoản cũ
- Lưu user vào session và redirect về /home"
,3,Hiện thị mật khẩu (Login user),Hoàn Thành,"-Người dùng có thể kiểm tra lại mật khẩu mình đã nhập để tránh sai sót
- Thêm biểu tượng con mắt ở góc phải của input password.
- Khi click vào icon, trạng thái input sẽ chuyển đổi qua lại giữa dạng ẩn và dạng văn bản rõ (plaintext).
- Icon cũng cần thay đổi hình ảnh khi được click","Giải pháp:
- Xử lý bằng Vanilla JavaScript ở Frontend (phía client), thay đổi thuộc tính type của thẻ input
Flow:
- Người dùng click vào icon con mắt (.toggle-password) bên cạnh ô nhập mật khẩu
- JavaScript bắt sự kiện click, kiểm tra thuộc tính type của input mật khẩu
- Nếu type === ""password"", đổi sang ""text"" và đổi class icon sang con mắt gạch chéo
- Nếu type === ""text"", đổi về ""password"""
,4,Kiểm tra độ mạnh của mật khẩu (Login user),Hoàn Thành,"-Mật khẩu phải có ít nhất 8 ký tự, bao gồm chữ hoa, chữ thường, số và ký tự đặc biệt để bảo mật
- UI hiển thị 1 thanh cho thấy độ mạnh mật khẩu của người dùng đang nhập vào theo màu sắc.
- Khi người dùng gõ thoả mãn những mong đợi thì dòng chữ đổi màu
- Mật khẩu chỉ được chấp nhận khi đạt mức độ từ trung bình ","Giải pháp:
- Kết hợp frontend JS tính điểm động và backend Java dùng java.util.regex.Pattern kiểm duyệt chặt chẽ khi submit
Flow:
- Người dùng gõ mật khẩu -> JS đo bằng regex, thay đổi chiều rộng và màu sắc thanh progress bar tương ứng với số điểm đạt được (Yếu, Trung bình, Mạnh)
- Khi gửi request đăng ký -> RegisterController.doPost() dùng 5 biểu thức chính quy (Regex) kiểm tra. Nếu tổng điểm < 3, từ chối đăng ký và trả lỗi"
,5,Tích hợp ghi nhớ đăng nhập (Login user),Hoàn Thành,"- tích hợp Remember me, người dùng phải đăng nhập lại mỗi khi tắt web hoặc hết hạn session
- Khách hàng sẽ không cần phải đăng nhập lại mỗi khi khởi động trình duyệt
-Thêm checkbox ghi nhớ trên form login
- Khi người dùng click vào checkbox thì hệ thống lưu lại token, lần sau đăng nhập hệ thống sẽ cấp quyền truy cập và không bắt đăng nhập lại","Giải pháp:
- Sử dụng Cookie remember_me có cấu hình HttpOnly, Secure, SameSite=Strict và lưu trữ UUID Token tương ứng trong bảng refresh_tokens trong database
- Kiểm soát bằng RememberMeFilter.java
Flow:
- Đăng nhập thành công và tick checkbox ""Ghi nhớ"" -> Servlet sinh UUID Token ngẫu nhiên
- Gọi RefreshTokenDao.insertToken(userId, token, expireAt) lưu vào DB với hạn dùng 30 ngày
- Trả về client cookie remember_me chứa giá trị token
- Lần truy cập sau, RememberMeFilter.doFilter() chặn request -> Đọc cookie remember_me -> Gọi tokenDao.findByToken(token)
- Nếu token tồn tại và chưa hết hạn, truy xuất user tương ứng và set vào session: session.setAttribute(""auth"", user)"
,6,Khi nhập sai thông tin ,Hoàn Thành,"- Thay đổi cơ chế khi sai chỉ cần gửi 1 thông báo ""Email or password invalid"" mà không xoá đi những thông tin do người dùng đã nhập vào giúp tối ưu thời gian và trãi nghiệm của người dùng tốt hơn","Giải pháp:
- Sử dụng cơ chế Request Forwarding kết hợp Request Attributes
Flow:
- Người dùng nhập sai mật khẩu -> LoginController.doPost() nhận diện đăng nhập thất bại
- Servlet gọi request.setAttribute(""username"", username) và request.setAttribute(""error"", ""Email hoặc mật khẩu không chính xác!"")
- Servlet forward request về /DangNhap.jsp bằng request.getRequestDispatcher(""/DangNhap.jsp"").forward(...)
- File JSP lấy attribute và hiển thị lại: <input name=""username"" value=""${username}"" />"
Đăng ký (user),7,Đăng ký thông thường,Hoàn Thành,"Người dùng có thể nhập thông tin vào cái ô để tạo tài khoản, đã có thể xác thực dịnh dạng số điện thoại ít nhất 10 ký tự và bắt đầu bằng 0, password phải có ít nhất 5 ký tự","Giải pháp:
- Servlet RegisterController.java, Service AuthService.java, DAO UserDAO.java
Flow:
- Người dùng gửi dữ liệu đăng ký -> RegisterController.doPost() validate định dạng SĐT (Regex ^0\\d{9,}$)
- Kiểm tra email đã được đăng ký chưa qua authService.isEmailExists(email)
- Gọi authService.register(user) -> Thực hiện mã hóa mật khẩu -> Gọi UserDAO.insert(user) lưu vào DB"
,8,Xác thực email ,Hoàn Thành,"- Xác thực trong phần hồ sơ tài khoản, nếu nguời dùng chưa xác thực thì hiện thị chưa xác thực, đã xác thực thì hiện thị đã xác thực
- Gửi một đường link kích hoạt (có thời hạn) vào email người dùng.","Giải pháp:
- EmailVerificationService.sendVerificationEmail() sinh UUID token -> Lưu DB tokenDao.insertToken (hạn 24h) -> Gửi mail chứa link /verify-email?token=.... Click link -> VerifyEmailController.doGet() gọi verifyToken(token) -> Cập nhật DB qua authDao.updateEmailVerificationStatus(userId, true)
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,9,Thừa khoảng trắng khi đăng ký ,Hoàn Thành,"- Hệ thống tự động dọn dẹp các lỗi gõ phím nhỏ nhặt để người dùng không bị cản trở bởi những lỗi vô lý
- Trước khi kiểm tra dữ liệu hoặc lưu vào Database, hệ thống ngầm tự động cắt bỏ các khoảng trắng thừa ở đầu và cuối (Trim) của trường Email.","Giải pháp:
- Sử dụng hàm trim() của lớp String trong Java trước khi thực hiện validate hoặc lưu vào Database
Flow:
- Khi nhận dữ liệu từ request -> Servlet xử lý cắt bỏ khoảng trắng: request.getParameter(""email"").trim()"
Quên mật khẩu,10,Gửi OTP,Hoàn Thành,"- Mã OTP được hệ thống sinh ngẫu nhiên cho mỗi yêu cầu.
- Tích hợp dịch vụ gửi mã tự động qua Email hoặc SMS thay vì dữ liệu tĩnh
- Mã hóa OTP khi lưu trữ tạm thời dưới Database để đảm bảo an ninh","Giải pháp:
- ForgotPasswordController.java, PasswordResetService.java, PasswordResetTokenDAO.java
- Sử dụng lớp SecureRandom để tạo mã và gửi email bất đồng bộ bằng EmailUtil.sendEmailAsync
Flow:
- Nhập email quên mật khẩu -> ForgotPasswordController.doPost()
- Gọi passwordResetService.generateOTP(email)
- Sinh mã OTP ngẫu nhiên -> Vô hiệu hóa các mã OTP cũ của user -> Lưu mã OTP mới vào bảng password_reset_tokens
- Gửi email chứa mã OTP đến người dùng"
,11,Thời hạn tồn tại của OTP,Hoàn Thành,"- Thiết lập thời gian hết hạn cụ thể cho mã OTP
- Hiển thị thời gian đếm ngược trên giao diện để người dùng biết ","Giải pháp:
- Lưu trữ thuộc tính expire_at kiểu Timestamp trong bảng password_reset_tokens
- Đếm ngược 300 giây bằng JavaScript trên file JSP XacNhanOTP.jsp
Flow:
- Khi sinh mã OTP, tính expireAt = CurrentTime + 5 phút
- Khi người dùng nhập OTP và submit -> PasswordResetService.validateOTP() được gọi
- So sánh expireAt với thời gian hiện tại (System.currentTimeMillis()). Nếu vượt quá, ném lỗi hết hạn"
,12,Kiểm soát việc gửi lại mã OTP ,Hoàn Thành,"- Có cooldown giữa các lần gửi lại mã
- Thêm logic đếm số lần gửi lại để chống spam API
- Vô hiệu nút gửi lại chỉ (làm mờ) và chỉ sáng lên sau cooldown (vd: 60s)","Giải pháp:
- Xử lý chặn rate limit dựa trên thời gian tạo của OTP cũ trong DB và tăng số lần nhập sai so_lan_sai trong DB
Flow:
- Nhấn nút ""Gửi lại mã"" -> Gọi passwordResetService.validateRateLimit(email)
- Truy vấn token gần nhất. Nếu thời gian chênh lệch < 60s, chặn và bắt đợi
- Khi nhập sai OTP -> PasswordResetService.validateOTP() gọi tokenDAO.tangSoLanSai(tokenId). Nếu số lần sai đạt 5, vô hiệu hóa mã OTP lập tức"
